LP,Substancja czynna,Nazwa  postać i dawka,Zawartość opakowania,Numer GTIN lub inny kod jednoznacznie identyfikujący produkt,Termin wejścia w życie decyzji,Okres obowiązywania decyzji,Grupa limitowa,Urzędowa cena zbytu,Cena hurtowa brutto,Cena detaliczna,Wysokość limitu finansowania,Zakres wskazań objętych refundacją,Zakres wskazań pozarejestracyjnych objętych refundacją,Poziom odpłatności,Wysokość dopłaty świadczeniobiorcy
1,Dibutyrylochityna,"Dibucell Active 10x10 cm, jałowy opatrunek biopolimerowy, 100 cm²",1 szt.,5905669556088,2021-01-01,2 lata,"220.15, Opatrunki biopolimerowe","18,90","19,85","25,32","25,32",Przewlekłe owrzodzenia,,30%,"7,60"
2,Emplastri alginatosa et hydrofibrica,"Medisorb A, opatrunek alginianowy, 10x10 cm²",1 szt.,5900516844714,2019-01-01,3 lata,"220.1, Opatrunki alginianowe i hydrowłókienne","6,70","7,04","9,68","9,29",Przewlekłe owrzodzenia,,30%,"3,18"
3,Emplastri alginatosa et hydrofibrica,"Medisorb A, opatrunek alginianowy, 10x10 cm²",1 szt.,5900516844714,2019-01-01,3 lata,"220.1, Opatrunki alginianowe i hydrowłókienne","6,70","7,04","9,68","9,29",Epidermolysis bullosa,,bezpłatny do limitu,"0,39"
4,Emplastri alginatosa et hydrofibrica,"Sorbalgon, jałowy opatrunek z alginianów wapnia, 10x10 cm²",1 szt.,4049500217958,2019-01-01,3 lata,"220.1, Opatrunki alginianowe i hydrowłókienne","7,54","7,92","10,56","9,29",Przewlekłe owrzodzenia,,30%,"4,06"
5,Emplastri alginatosa et hydrofibrica,"Sorbalgon, jałowy opatrunek z alginianów wapnia, 10x10 cm²",1 szt.,4049500217958,2019-01-01,3 lata,"220.1, Opatrunki alginianowe i hydrowłókienne","7,54","7,92","10,56","9,29",Epidermolysis bullosa,,bezpłatny do limitu,"1,27"
6,Emplastri alginatosa et hydrofibrica,"Sorbalgon, jałowy opatrunek z alginianów wapnia, 10x20 cm²",1 szt.,4049500217927,2019-07-01,3 lata,"220.1, Opatrunki alginianowe i hydrowłókienne","14,77","15,51","19,86","18,58",Przewlekłe owrzodzenia,,30%,"6,85"
7,Emplastri alginatosa et hydrofibrica,"Sorbalgon, jałowy opatrunek z alginianów wapnia, 10x20 cm²",1 szt.,4049500217927,2019-07-01,3 lata,"220.1, Opatrunki alginianowe i hydrowłókienne","14,77","15,51","19,86","18,58",Epidermolysis bullosa,,bezpłatny do limitu,"1,28"
8,Emplastri alginatosa et hydrofibrica,"Sorbalgon, jałowy opatrunek z alginianów wapnia, 5x5 cm²",1 szt.,4049500217965,2019-01-01,3 lata,"220.1, Opatrunki alginianowe i hydrowłókienne","3,00","3,15","3,86","2,32",Przewlekłe owrzodzenia,,30%,"2,24"
9,Emplastri alginatosa et hydrofibrica,"Sorbalgon, jałowy opatrunek z alginianów wapnia, 5x5 cm²",1 szt.,4049500217965,2019-01-01,3 lata,"220.1, Opatrunki alginianowe i hydrowłókienne","3,00","3,15","3,86","2,32",Epidermolysis bullosa,,bezpłatny do limitu,"1,54"
10,Emplastri alginatosa et hydrofibrica,"Suprasorb A, opatrunek z alginianu wapnia, sterylny, 10x10 cm, opatrunek, 10x10 cm²",1 szt.,4021447013466,2019-01-01,3 lata,"220.1, Opatrunki alginianowe i hydrowłókienne","6,43","6,75","9,39","9,29",Przewlekłe owrzodzenia,,30%,"2,89"
