LP,Substancja czynna,Nazwa  postać i dawka,Zawartość opakowania,Numer GTIN lub inny kod jednoznacznie identyfikujący produkt,Termin wejścia w życie decyzji,Okres obowiązywania decyzji,Grupa limitowa,Urzędowa cena zbytu,Cena hurtowa brutto,Cena detaliczna,Wysokość limitu finansowania,Zakres wskazań objętych refundacją,Zakres wskazań pozarejestracyjnych objętych refundacją,Poziom odpłatności,Wysokość dopłaty świadczeniobiorcy
1,8-Methoxypsoralenum,"Oxsoralen, kaps. miękkie, 10 mg",50 szt.,05909990244713,2022-01-01,3 lata,"52.0, Leki przeciwłuszczycowe do stosowania ogólnego - psoraleny - metoksalen","12,74","13,38","17,56","17,56",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,30%,"5,27"
2,Acarbosum,"Adeksa, tabl., 100 mg",30 szt.,05909990893423,2022-05-01,3 lata,"17.0, Doustne leki przeciwcukrzycowe - inhibitory alfaglukozydazy - akarboza","13,28","13,94","18,23","18,23",Cukrzyca,,30%,"5,47"
3,Acarbosum,"Adeksa, tabl., 50 mg",30 szt.,05909990893386,2022-05-01,3 lata,"17.0, Doustne leki przeciwcukrzycowe - inhibitory alfaglukozydazy - akarboza","9,40","9,87","12,46","9,12",Cukrzyca,,30%,"6,08"
4,Acarbosum,"Glucobay 100, tabl., 100 mg",30 szt.,05909990285518,2022-01-01,3 lata,"17.0, Doustne leki przeciwcukrzycowe - inhibitory alfaglukozydazy - akarboza","13,28","13,94","18,23","18,23",Cukrzyca,,30%,"5,47"
5,Acarbosum,"Glucobay 50, tabl., 50 mg",30 szt.,05909990285419,2022-01-01,3 lata,"17.0, Doustne leki przeciwcukrzycowe - inhibitory alfaglukozydazy - akarboza","7,45","7,82","10,41","9,12",Cukrzyca,,30%,"4,03"
6,Acebutololum,"Acebutolol Gedeon Richter, tabl. powl., 200 mg",30 szt.,05909990109920,2022-01-01,3 lata,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego","8,75","9,19","11,04","5,94",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,ryczałt,"8,30"
7,Acebutololum,"Acebutolol Gedeon Richter, tabl. powl., 400 mg",30 szt.,05909990110018,2022-01-01,3 lata,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego","16,31","17,13","20,40","11,89",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,ryczałt,"11,71"
8,Acenocoumarolum,"Acenocumarol WZF, tabl., 4 mg",60 szt.,05909990055715,2022-01-01,3 lata,"21.0, Leki przeciwzakrzepowe z grupy antagonistów witaminy K","9,98","10,48","14,08","14,08",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,ryczałt,"5,12"
9,Aciclovirum,"Aciclovir Aurovitas, tabl., 200 mg",30 szt.,05909991413590,2021-09-01,3 lata,"115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego","9,70","10,19","13,68","12,04",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,50%,"7,66"
10,Aciclovirum,"Aciclovir Aurovitas, tabl., 400 mg",30 szt.,05909991413675,2021-09-01,3 lata,"115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego","15,66","16,44","21,91","21,91",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,50%,"10,96"
11,Aciclovirum,"Aciclovir Aurovitas, tabl., 800 mg",30 szt.,05909991413736,2021-09-01,3 lata,"115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego","31,32","32,89","41,34","41,34",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,50%,"20,67"
12,Aciclovirum,"Hascovir, tabl., 200 mg",30 szt.,05909991049515,2022-01-01,3 lata,"115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego","11,34","11,91","15,39","12,04",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,50%,"9,37"
13,Aciclovirum,"Hascovir, tabl., 400 mg",30 szt.,05909991052218,2022-01-01,3 lata,"115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego","18,90","19,85","25,32","24,07",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,50%,"13,29"
14,Aciclovirum,"Hascovir, tabl., 800 mg",30 szt.,05909990835782,2022-05-01,3 lata,"115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego","37,80","39,69","48,14","48,14",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,50%,"24,07"
15,Aciclovirum,"Heviran, tabl. powl., 200 mg",30 szt.,05909990840014,2022-01-01,3 lata,"115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego","11,52","12,10","15,58","12,04",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,50%,"9,56"
16,Aciclovirum,"Heviran, tabl. powl., 400 mg",30 szt.,05909990840113,2022-01-01,3 lata,"115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego","21,03","22,08","27,55","24,07",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,50%,"15,52"
17,Aciclovirum,"Heviran, tabl. powl., 800 mg",30 szt.,05909990840229,2022-01-01,3 lata,"115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego","38,87","40,81","49,26","48,14",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,50%,"25,19"
18,Acidum alendronicum,"Alendran 70, tabl., 70 mg",4 szt. (1 blist.po 4 szt.),05909990072156,2022-01-01,3 lata,"147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy","8,26","8,67","11,80","11,80",Osteoporoza,,30%,"3,54"
19,Acidum alendronicum,"Alendrogen, tabl., 70 mg",4 szt.,05909990623112,2022-01-01,3 lata,"147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy","6,59","6,92","10,05","10,05",Osteoporoza,,30%,"3,02"
